sample_id,mahal_dist,p_value,outlier,prefix,subj_num,time,age,subject,group
O_S32_Post,4.000768230786792,0.9473123197565834,FALSE,O,S32,Post,Old,O_S32,Old_Post
O_S35_Post,6.716444613247493,0.7519156407975743,FALSE,O,S35,Post,Old,O_S35,Old_Post
YP_S14_Pre,6.8562681865478705,0.7389408798292048,FALSE,YP,S14,Pre,Young,YP_S14,Young_Pre
YP_S45_Pre,8.500767783537835,0.5800438753628671,FALSE,YP,S45,Pre,Young,YP_S45,Young_Pre
YP_S56_Pre,5.6138818607674725,0.8465934810925091,FALSE,YP,S56,Pre,Young,YP_S56,Young_Pre
Y_S01_Pre,7.166074671449159,0.7096789871380018,FALSE,Y,S01,Pre,Young,Y_S01,Young_Pre
Y_S07_Pre,8.763060111937106,0.5547280954361453,FALSE,Y,S07,Pre,Young,Y_S07,Young_Pre
Y_S10_Pre,10.98152026091915,0.3589595607083002,FALSE,Y,S10,Pre,Young,Y_S10,Young_Pre
Y_S11_Pre,13.351518427598641,0.20467659225866439,FALSE,Y,S11,Pre,Young,Y_S11,Young_Pre
Y_S16_Pre,3.7204798665180574,0.9590769185699135,FALSE,Y,S16,Pre,Young,Y_S16,Young_Pre
Y_S28_Pre,2.320144957941717,0.9932455939389409,FALSE,Y,S28,Pre,Young,Y_S28,Young_Pre
Y_S30_Pre,7.852225495930935,0.6432687387003719,FALSE,Y,S30,Pre,Young,Y_S30,Young_Pre
Y_S31_Pre,8.268100531293783,0.602667235343955,FALSE,Y,S31,Pre,Young,Y_S31,Young_Pre
Y_S32_Pre,2.1247202845413127,0.9952917785472418,FALSE,Y,S32,Pre,Young,Y_S32,Young_Pre
Y_S34_Pre,1.3097953983885637,0.9994157652973485,FALSE,Y,S34,Pre,Young,Y_S34,Young_Pre
Y_S35_Pre,3.107226984112353,0.9787867450788559,FALSE,Y,S35,Pre,Young,Y_S35,Young_Pre
Y_S36_Pre,4.0054291872715355,0.9471017300280402,FALSE,Y,S36,Pre,Young,Y_S36,Young_Pre
Y_S40_Pre,15.789794035521265,0.10580997949941934,FALSE,Y,S40,Pre,Young,Y_S40,Young_Pre
YP_S14_Post,9.563259094745646,0.47960779735211134,FALSE,YP,S14,Post,Young,YP_S14,Young_Post
YP_S45_Post,4.750752042789324,0.9071940420833695,FALSE,YP,S45,Post,Young,YP_S45,Young_Post
YP_S56_Post,19.623510907280533,0.03302160641866598,FALSE,YP,S56,Post,Young,YP_S56,Young_Post
Y_S01_Post,2.559478097679684,0.9899803401181446,FALSE,Y,S01,Post,Young,Y_S01,Young_Post
Y_S07_Post,13.593241425379945,0.19236641761092974,FALSE,Y,S07,Post,Young,Y_S07,Young_Post
Y_S10_Post,22.053142293026003,0.014836151360657242,FALSE,Y,S10,Post,Young,Y_S10,Young_Post
Y_S11_Post,12.440532211726477,0.2566542580056826,FALSE,Y,S11,Post,Young,Y_S11,Young_Post
Y_S16_Post,4.212005339779613,0.9372766165025866,FALSE,Y,S16,Post,Young,Y_S16,Young_Post
Y_S28_Post,5.903657574121183,0.8232914944399131,FALSE,Y,S28,Post,Young,Y_S28,Young_Post
Y_S30_Post,9.406105149935522,0.49404441647251796,FALSE,Y,S30,Post,Young,Y_S30,Young_Post
Y_S31_Post,6.938978877730366,0.7311928935607299,FALSE,Y,S31,Post,Young,Y_S31,Young_Post
Y_S32_Post,9.321348851042874,0.5019020724910727,FALSE,Y,S32,Post,Young,Y_S32,Young_Post
Y_S34_Post,4.575407610854007,0.9176801936111126,FALSE,Y,S34,Post,Young,Y_S34,Young_Post
Y_S35_Post,4.419229901357641,0.9264597343549494,FALSE,Y,S35,Post,Young,Y_S35,Young_Post
Y_S36_Post,8.09716016923809,0.6193469263617399,FALSE,Y,S36,Post,Young,Y_S36,Young_Post
Y_S40_Post,23.211425255898156,0.009992508260533427,TRUE,Y,S40,Post,Young,Y_S40,Young_Post
